candidate,votes,election_day,absentee,provisional
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0030-01,,,,
,,,,
0030 CRANBERRY TOWNSHIP WEST 2,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,178",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,358","1,253",105,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,347,312,35,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,378,345,33,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,2,2,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,2,1,1,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",700,644,56,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,635,586,49,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,4,4,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",15,15,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,718,658,60,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,607,564,43,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,6,6,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,23,23,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,350,329,21,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,336,317,19,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,13,13,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 17TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
CONOR LAMB (DEM) .  .  .  .  .  .  .  .  .,300,264,36,0
KEITH ROTHFUS (REP) .  .  .  .  .  .  .  .,355,326,29,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",695,639,56,0
DARYL METCALFE (REP).  .  .  .  .  .  .  .,643,595,48,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,6,6,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0031-01,,,,
,,,,
0031 CRANBERRY TOWNSHIP WEST 3,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"3,420",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"2,111","1,997",114,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,443,424,19,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,648,605,43,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,5,5,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",953,911,42,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,"1,102","1,033",69,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,9,7,2,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",34,33,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,"1,017",972,45,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,"1,048",980,68,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,9,9,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,30,30,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 17TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
CONOR LAMB (DEM) .  .  .  .  .  .  .  .  .,961,919,42,0
KEITH ROTHFUS (REP) .  .  .  .  .  .  .  .,"1,143","1,073",70,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .","1,009",961,48,0
DARYL METCALFE (REP).  .  .  .  .  .  .  .,"1,088","1,024",64,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,5,5,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0032-01,,,,
,,,,
0032 CRANBERRY TOWNSHIP WEST 4,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,314",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,471","1,419",51,1
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,332,317,15,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,414,400,13,1
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",697,667,30,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,726,705,20,1
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,11,11,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",28,27,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,732,702,30,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,711,690,20,1
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,7,7,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,21,20,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 17TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
CONOR LAMB (DEM) .  .  .  .  .  .  .  .  .,700,671,29,0
KEITH ROTHFUS (REP) .  .  .  .  .  .  .  .,766,743,22,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",712,684,28,0
DARYL METCALFE (REP).  .  .  .  .  .  .  .,741,720,20,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,6,4,2,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0033-01,,,,
,,,,
0033 CRANBERRY TOWNSHIP WEST 5,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,095",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,220","1,178",42,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,289,270,19,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,343,329,14,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,2,2,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",595,571,24,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,587,571,16,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,11,10,1,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",19,19,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,616,593,23,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,571,554,17,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,12,11,1,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,15,14,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 17TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
CONOR LAMB (DEM) .  .  .  .  .  .  .  .  .,581,558,23,0
KEITH ROTHFUS (REP) .  .  .  .  .  .  .  .,635,616,19,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",584,558,26,0
DARYL METCALFE (REP).  .  .  .  .  .  .  .,625,610,15,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0034-01,,,,
,,,,
0034 CRANBERRY TOWNSHIP WEST 6,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,344",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,532","1,479",50,3
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,328,318,10,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,406,394,11,1
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",747,727,19,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,741,711,29,1
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,6,6,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",27,26,0,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,771,748,22,1
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,720,693,25,2
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,7,7,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,27,26,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 17TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
CONOR LAMB (DEM) .  .  .  .  .  .  .  .  .,724,701,21,2
KEITH ROTHFUS (REP) .  .  .  .  .  .  .  .,802,774,27,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",756,728,26,2
DARYL METCALFE (REP).  .  .  .  .  .  .  .,754,731,22,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0035-01,,,,
,,,,
0035 DONEGAL TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,129",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,718,688,28,2
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,89,82,7,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,267,256,10,1
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,7,7,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",221,207,13,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,478,462,15,1
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,5,5,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",10,10,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,238,224,13,1
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,463,449,13,1
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,6,6,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,8,7,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 15TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
SUSAN BOSER (DEM).  .  .  .  .  .  .  .  .,203,192,10,1
GLENN GT THOMPSON (REP).  .  .  .  .  .  .,508,489,18,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,547,529,17,1
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,107,104,2,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0036-01,,,,
,,,,
0036 FAIRVIEW TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,284",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,792,769,23,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,73,71,2,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,344,331,13,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,4,4,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",236,231,5,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,535,519,16,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,4,3,1,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",11,10,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,248,242,6,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,524,509,15,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,4,3,1,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,11,10,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 15TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
SUSAN BOSER (DEM).  .  .  .  .  .  .  .  .,207,202,5,0
GLENN GT THOMPSON (REP).  .  .  .  .  .  .,580,562,18,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,630,612,18,0
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,117,112,5,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0037-01,,,,
,,,,
0037 FORWARD TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,976",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,263","1,211",52,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,194,184,10,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,469,451,18,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,5,5,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",425,407,18,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,796,763,33,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,10,9,1,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",23,23,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,452,437,15,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,777,745,32,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,7,6,1,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,17,16,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,394,375,19,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,841,808,33,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,20,20,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",427,409,18,0
DARYL METCALFE (REP).  .  .  .  .  .  .  .,820,789,31,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0038-01,,,,
,,,,
0038 FRANKLIN TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,874",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,284","1,244",36,4
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,167,160,7,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,494,476,15,3
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",434,416,18,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,812,790,18,4
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,7,7,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",21,21,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,467,450,17,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,782,759,19,4
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,8,8,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,17,17,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,406,389,17,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,848,825,19,4
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,20,20,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 8TH LE,GISLATI,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
LISA BOEVING-LEARNED (DEM).  .  .  .  .  .,371,355,16,0
TEDD NESBIT (REP).  .  .  .  .  .  .  .  .,900,877,20,3
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0039-01,,,,
,,,,
0039 JACKSON TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"3,010",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,876","1,797",78,1
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,335,314,21,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,713,687,25,1
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,2,2,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",699,666,33,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,"1,120","1,076",43,1
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,13,13,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",19,18,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,755,718,37,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,"1,078","1,038",39,1
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,12,12,0,0
